part,name,description,category,product_line_id,release_date,original_condition_id
H4A43AA#ABA,HP 90W w/USB Universal ,HP 90W w/USB Universal Adapter,Accessories>AC Adapters,Commercial,2013-10-25,Refurbished
H4A41UT#ABA,HP 90W Slim Combo ,HP 90W Slim Combo Adapter,Accessories>AC Adapters,Commercial,2013-10-29,Excess New
H4K08UT#ABA,HP ElitePad 10W A/C Adapter,HP ElitePad 10W A/C Adapter,Accessories>AC Adapters,Commercial,2013-11-25,Excess New
H5W93AA#ABA,HP ElitePad 40W A/C Adapter,HP ElitePad Dock 40W A/C Adapter (ElitePad 900/1000 G2),Accessories>Docking Stations,Commercial,2013-11-25,Excess New
H6Y84AA#ABA,HP 90W Slim Combo w/USB Adapter,HP 90W Slim Combo w/USB Adapter,Accessories>AC Adapters,Commercial,2014-02-04,Excess New
H6Y82AA#ABA,HP 65W Slim AC ,HP 65W Slim AC Adapter,Accessories>AC Adapters,Commercial,2014-02-19,Excess New
H6Y82UT#ABA,HP 65W Slim AC ,HP 65W Slim AC Adapter,Accessories>AC Adapters,Commercial,2014-03-27,Excess New
H6Y84UT#ABA,HP 90W Slim Combo w/USB Adapter,HP 90W Slim Combo w/USB Adapter,Accessories>AC Adapters,Commercial,2014-04-24,Excess New
H6Y88UT#ABA,HP 45W Smart AC ,HP 45W Smart AC Adapter,Accessories>AC Adapters,Commercial,2014-05-06,Excess New
H6Y88AA#ABA,HP 45W Smart AC ,HP 45W Smart AC Adapter,Accessories>AC Adapters,Commercial,2014-07-03,Excess New
H4K08AA#ABA,HP ElitePad 10W A/C Rfrbd ,HP ElitePad 10W A/C Adapter,Accessories>AC Adapters,Commercial,2014-07-28,Excess New
H6Y83AA#ABA,HP 90W Slim AC ,HP 90W Slim AC Adapter,Accessories>AC Adapters,Commercial,2014-08-20,Refurbished
H6Y83UT#ABA,HP 90W Slim AC ,HP 90W Slim AC Adapter ,Accessories>AC Adapters,Commercial,2014-09-23,Refurbished
VF685AA#ABM,HP 65W Slim LTNA Rfrbd AC ,HP 65W Slim LTNA AC Adapter,Accessories>AC Adapters,Consumer,2014-09-25,Excess New
H6Y89AA#ABA,HP 65W Smart AC ,HP 65W Smart AC Adapter,Accessories>AC Adapters,Commercial,2015-01-06,Excess New
J0E43AA#ABA,HP 65W Smart Travel AC ,HP 65W Smart Travel AC Adapter,Accessories>AC Adapters,Commercial,2015-02-12,Refurbished
H6Y83UT#ABA,HP 90W Slim AC Rfrbd ,HP 90W Slim AC Adapter ,Accessories>AC Adapters,Commercial,2015-02-17,Excess New
H6Y90UT#ABA,HP 90W Smart AC Adapter,HP 90W Smart AC Adapter,Accessories>AC Adapters,Commercial,2015-02-17,Excess New
H6Y82UT#ABA,HP 65W Slim AC ,HP 65W Slim AC Adapter,Accessories>AC Adapters,Commercial,2015-03-01,Refurbished
H6Y90AA#ABA,HP 90W Smart AC Adapter,HP 90W Smart AC Adapter,Accessories>AC Adapters,Commercial,2015-03-02,Refurbished
H6Y89AA#ABA,HP 65W Smart AC Rfrbd ,HP 65W Smart AC Adapter,Accessories>AC Adapters,Commercial,2015-03-10,Excess New
