part,name,description,category,product_line_id,release_date,original_condition_id
675475R-999-FQFW,HP 8300 i5 3470 Rfrbd AiO PC,HP 8300 W7P-64 i5 3470 3.2GHz 500GB SATA 4GB DVD 23.0FHD TouchScreen WLAN HD 7650A Cam AiO PC,All-in-Ones,Commercial,18-06-2014,Refurbished
710089R-999-FQFF,HP EliteOne 800 i5 4570S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i5 4570S 2.9GHz 500GB 4GB No-Optical 23.0FHD WLAN 7650A Cam AiO PC,All-in-Ones,Commercial,18-06-2014,Refurbished
E3T37UT#ABA,HP EliteOne 800 i3 4130 AiO PC,HP EliteOne 800 W8P/W7P-64 i3 4130 3.4GHz 500GB 4GB DVDRW 23.0FHD WLAN HD 4600 MCR Cam AiO PC,All-in-Ones,Commercial,18-06-2014,Refurbished
F4K96UT#ABA,HP ProOne 600 i5 4570S Rfrbd AiO PC,HP ProOne 600 W8P/W7P-64 i5 4570S 2.9GHz 500GB 4GB(1x4GB) DVDRW 21.5HD WLAN Intel 4600 AiO PC,All-in-Ones,Commercial,19-06-2014,Refurbished
737739R-999-FQGF,HP ProOne 400 i5 4570T Rfrbd AiO PC,HP ProOne 400 W7P-64 i5 4570T 2.9GHz 500GB SATA 4GB No-Optical 19.5HD+ Intel HD 4600 Cam AiO PC,All-in-Ones,Commercial,20-06-2014,Refurbished
675475R-999-FQH2,HP 8300 i5 3470 Rfrbd AiO PC,HP 8300 W7P-64 i5 3470 3.2GHz 500GB SATA 8GB DVDRW 23.0FHD TouchScreen Intel HD AiO PC,All-in-Ones,Commercial,25-06-2014,Refurbished
710089R-999-FQJQ,HP EliteOne 800 i7 4770S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i7 4770S 3.1GHz 500GB SATA 8GB DVD 23.0FHD AMD HD 7650A Cam AiO PC,All-in-Ones,Commercial,25-06-2014,Refurbished
710089R-999-FQJS,HP EliteOne 800 i5 4570S Rfrbd AiO PC,HP EliteOne 800 W7P-64 i5 4570S 2.9GHz 1TB SATA 4GB DVDRW 23.0FHD WLAN Intel HD 4600 Cam AiO PC,All-in-Ones,Commercial,25-06-2014,Refurbished
F4J78UT#ABA-S,HP ProOne 400 PD G3420T Rfrbd AiO PC,HP ProOne 400 W8P/W7P-64 PD G3420T 2.7GHz 500GB 4GB(1x4GB) DVDRW 19.5HD WLAN BT Intel HD AiO PC,All-in-Ones,Commercial,25-06-2014,Refurbished
F4K99UA#ABA,HP ProOne 600 i5 4570S Rfrbd AiO PC,HP ProOne 600 W8P/W7P-64 i5 4570S 2.9GHz 500GB 4GB(1x4GB) DVDRW 21.5HD WLAN Intel 4600 AiO PC,All-in-Ones,Commercial,25-06-2014,Refurbished
F4K98UT#ABA,HP ProOne 600 i7 4770S Rfrbd AiO PC,HP ProOne 600 W8P/W7P-64 i7 4770S 3.1GHz 500GB 4GB(1x4GB) DVDRW 21.5HD WLAN Intel 4600 AiO PC,All-in-Ones,Commercial,25-06-2014,Refurbished
D0R46AV#998,HP ProOne 600 i3 4130 Rfrbd AiO PC,HP ProOne 600 W8P-64 i3 4130 3.4GHz 500GB SATA 4GB(1x4GB) DVDRW 21.5HD Cam MCR HD 4400 AiO PC,All-in-Ones,Commercial,25-06-2014,Refurbished
675475R-999-FQLZ,HP 8300 i3 3220 Rfrbd AiO PC,HP 8300 W7P-64 i3 3220 3.3GHz 500GB SATA 4GB DVD 23.0FHD TouchScreen WLAN Intel HD Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710089R-999-FQK6,HP EliteOne 800 i5 4570S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i5 4570S 2.9GHz 128GB SSD 8GB No-Optical 23.0FHD HD4600 Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710089R-999-FQLR,HP EliteOne 800 i5 4570S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i5 4570S 2.9GHz 1TB SATA 8GB DVDRW 23.0FHD WLAN HD 4600 AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710089R-999-FQMQ,HP EliteOne 800 i5 4570S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i5 4570S 2.9GHz 500GB 4GB No-Optical 23.0FHD WLAN 4600 Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710089R-999-FQLX,HP EliteOne 800 i5 4670S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i5 4670S 3.1GHz 500GB 8GB BluRay Writer 23.0FHD HD 4600 Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710089R-999-FQMR,HP EliteOne 800 i7 4770S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i7 4770S 3.1GHz 1TB 8GB DVDRW 23.0FHD WLAN HD 7650A Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710089R-999-FQK7,HP EliteOne 800 i7 4770S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i7 4770S 3.1GHz 500GB 8GB DVDRW 23.0FHD WLAN HD 4600 Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710089R-999-FQKF,HP EliteOne 800 i7 4770S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i7 4770S 3.1GHz 500GB SATA 4GB DVDRW 23.0FHD HD 7650A Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710089R-999-FQM9,HP EliteOne 800 i7 4770S Rfrbd AiO PC,HP EliteOne 800 W7P-64 i7 4770S 3.1GHz 1TB SATA 8GB DVDRW 23.0FHD WLAN AMD HD 7650A Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710089R-999-FQM5,HP EliteOne 800 i7 4770S Rfrbd AiO PC,HP EliteOne 800 W7P-64 i7 4770S 3.1GHz 1TB SATA 8GB DVDRW 23.0FHD WLAN Intel HD 4600 Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
737739R-999-FQLH,HP ProOne 400 i3 4130T Rfrbd AiO PC,HP ProOne 400 W7P-64 i3 4130T 2.9GHz 500GB SATA 4GB DVDRW 19.5HD+ Intel HD Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
737739R-999-FQKZ,HP ProOne 400 i3 4130T Rfrbd AiO PC,HP ProOne 400 W7P-64 i3 4130T 2.9GHz 500GB SATA 4GB DVDRW 19.5HD+ WLAN Intel HD Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
737739R-999-FQLJ,HP ProOne 400 i3 4130T Rfrbd AiO PC,HP ProOne 400 W7P-64 i3 4130T 2.9GHz 500GB SATA 4GB No-Optical 19.5HD+ WLAN BT Intel HD AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
737739R-999-FQKM,HP ProOne 400 i3 4330T Rfrbd AiO PC,HP ProOne 400 W7P-64 i3 4330T 3.0GHz 500GB SATA 4GB DVDRW 19.5HD+ Intel HD 4600 AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710091R-999-FQK9,HP ProOne 600 i5 4670S Rfrbd AiO PC,HP ProOne 600 W7P-64 i5 4670S 3.1GHz 500GB SATA 4GB DVDRW 21.5FHD WLAN Intel HD 4600 Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
710091R-999-FQKH,HP ProOne 600 PD G3420 Rfrbd AiO PC,HP ProOne 600 W7P-64 PD G3420 3.2GHz 500GB SATA 4GB DVD 21.5FHD WLAN Intel HD Cam AiO PC,All-in-Ones,Commercial,30-06-2014,Refurbished
E2A09LT#ABM,HP EliteOne 800 i7 4770S LTNA Rfrbd PC,HP EliteOne 800 W8P/W7P-64 i7 4770S 3.1GHz 1TB SATA 8GB(1x8GB) DDR3 1600 DVDRW WLAN LTNA PC,All-in-Ones,Commercial,01-07-2014,Refurbished
710089R-999-FQNH,HP EliteOne 800 i7 4770S Rfrbd AiO PC,HP EliteOne 800 W7P-64 i7 4770S 3.1GHz 500GB SATA 16GB DVDRW 23.0FHD Intel HD 4600 Cam AiO PC,All-in-Ones,Commercial,02-07-2014,Refurbished
E2A02UT#ABC,HP EliteOne 800 i7 4770S AMD AiO PC,HP EliteOne 800 W8-64 i7 4770S 3.1GHz 1TB 8GB DVDRW 23.0HD Touch WLAN AMD 7650A 2GB CAN/ENG AiO PC,All-in-Ones,Commercial,03-07-2014,Refurbished
710091R-999-FQPH,HP ProOne 600 i5 4570S Rfrbd AiO PC,HP ProOne 600 W7P-64 i5 4570S 2.9GHz 256GB SSD 4GB DVDRW 21.5FHD Intel HD 4600 AiO PC,All-in-Ones,Commercial,03-07-2014,Refurbished
710089R-999-FQQD,HP EliteOne 800 i5 4570S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i5 4570S 2.9GHz 256GB SSD 8GB BluRay Wrtr 23.0FHD 7650A Cam AiO PC,All-in-Ones,Commercial,08-07-2014,Refurbished
710089R-999-FQPZ,HP EliteOne 800 i5 4570S Rfrbd AiO PC,HP EliteOne 800 Touch W7P-64 i5 4570S 2.9GHz 500GB 8GB DVDRW 23.0FHD HD 4600 Cam SD1 AiO PC,All-in-Ones,Commercial,08-07-2014,Refurbished
710091R-999-FQQ2,HP ProOne 600 PD G3420 Rfrbd AiO PC,HP ProOne 600 W7P-64 PD G3420 3.2GHz 500GB SATA 4GB DVD 21.5FHD WLAN Intel HD Cam SD1 AiO PC,All-in-Ones,Commercial,08-07-2014,Refurbished
